period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
7/1/2012,7/31/2012,30,county,5,1615,f,"Cape Girardeau County, MO",,Missouri,MO,Multi-Family (2-4 Unit),4,112500,-0.320241692,,132700,-0.016308377,,93.75,0.693421053,,96.84113151,0.046721598,,2,-0.5,,2,1,,2,1,,10,0,,5,2.5,,42,-29,,0.939130435,-0.004196017,,0,0,,,,,0,0,,"Cape Girardeau, MO",16020,3/19/2023
5/1/2021,5/31/2021,30,county,5,2052,f,"Hertford County, NC",,North Carolina,NC,All Residential,-1,64250,-0.509541985,-0.651430897,175000,-0.074074074,0.767676768,71.61620083,-0.205371546,0.574394712,80.32258065,-0.134987593,0.083641916,6,-0.5,0.5,6,-0.142857143,,11,1.2,2.666666667,32,0.185185185,-0.085714286,5.3,3,-3.5,53,-51,-221,0.927446048,-0.006491588,-0.06553227,0.166666667,0.166666667,-0.083333333,,,,0,0,,North Carolina nonmetropolitan area,,3/19/2023
3/1/2015,3/31/2015,30,county,5,1489,f,"Pipestone County, MN",,Minnesota,MN,Single Family Residential,6,53000,,1,69000,,0.12745098,27.90781621,,0.612842028,42.75534442,,0.127691663,2,,0,,,,6,,0,31,,0.631578947,15.5,,6,223,,93,0.839903344,,0.065579661,0,,0,0.129032258,,,,,,Minnesota nonmetropolitan area,,3/19/2023
7/1/2012,7/31/2012,30,county,5,2015,f,"Bladen County, NC",,North Carolina,NC,Single Family Residential,6,45000,-0.858934169,-0.657794677,78700,-0.343893289,-0.201015228,24.19354839,-0.825487916,-0.708290746,56.45371578,-0.497511717,-0.229707675,1,0,-0.75,,,,10,0.666666667,1,40,0.212121212,0,40,7,30,155,58,-172,0.598404255,-0.401595745,-0.319997689,0,0,-0.25,,,,,,,North Carolina nonmetropolitan area,,3/19/2023
6/1/2020,6/30/2020,30,county,5,358,f,"Ventura County, CA",,California,CA,Multi-Family (2-4 Unit),4,840000,0.040892193,0.003584229,650000,-0.037037037,0.023622047,253.5326454,-0.412507996,-0.13883088,379.0240984,0.016893922,0.06529251,9,0.285714286,-0.1,3,-0.5,-0.5,8,0.333333333,0.6,32,-0.085714286,-0.238095238,3.6,-1.4,-0.6,128,15,62,0.940001517,-0.001507585,-0.040113279,0,-0.142857143,-0.2,0.125,-0.303571429,-0.06547619,0.666666667,0.333333333,0.666666667,"Oxnard, CA",37100,3/19/2023
4/1/2022,4/30/2022,30,county,5,998,f,"Wayne County, IA",,Iowa,IA,Single Family Residential,6,40000,-0.047619048,-0.733333333,64450,0.145777778,-0.237278107,39.17727718,-0.169964286,-0.364915717,61.02271941,0.090219202,0.227676012,3,-0.5,0,3,2,0.5,4,-0.5,0.333333333,16,0.066666667,0.333333333,5.3,2.8,1.3,35,-132,-50,1.003373515,0.167509466,0.129890788,0.333333333,0.333333333,0.333333333,,,,0,0,0,Iowa nonmetropolitan area,,3/19/2023
5/1/2017,5/31/2017,30,county,5,452,f,"Escambia County, FL",,Florida,FL,All Residential,-1,165000,0.061093248,0.12321307,189000,0.111764706,0.117021277,94.88336022,0.001743716,0.123418985,100.7326007,0.016480116,0.078670085,522,0.147252747,0.015564202,320,0.221374046,0.103448276,622,0.162616822,0.128856624,2185,0.021505376,-0.057783527,4.2,-0.5,-0.3,78,0,-9,0.972490315,0.005075604,0.002779848,0.143678161,0.007414425,-0.058656469,,,,0.0375,-0.004484733,0.009913793,"Pensacola, FL",37860,3/19/2023
4/1/2016,4/30/2016,30,county,5,1884,f,"Coos County, NH",,New Hampshire,NH,Townhouse,13,499500,1.350588235,,,,,213.9724311,0.234495061,,,,,2,1,,1,0,,,,,6,-0.25,,3,-5,,137,95,,0.971443498,0.026999054,,0,0,,,,,0,0,,"Berlin, NH",13620,3/19/2023
10/1/2017,10/31/2017,30,county,5,562,f,"Franklin County, GA",,Georgia,GA,Single Family Residential,6,151200,0.68,0.4,132449.5,-0.116414276,-0.166984277,85.91811484,0.489247476,0.145989281,88.84282238,0.177436353,0.191874115,10,0,-0.5,7,0.166666667,0,20,-0.230769231,0.176470588,119,-0.008333333,0.072072072,11.9,-0.1,6.3,74,-14,-76,1.053387844,0.090719234,0.111530265,0.5,0.5,0.4,0.016806723,,,0.142857143,-0.023809524,0.142857143,Georgia nonmetropolitan area,,3/19/2023
4/1/2018,4/30/2018,30,county,5,302,f,"Yell County, AR",,Arkansas,AR,All Residential,-1,70000,,,119700,,,58.92255892,,,56.97368421,,,1,,,,,,11,,,27,,,27,,,136,,,0.934579439,,,0,,,,,,,,,"Russellville, AR",40780,3/19/2023
3/1/2017,3/31/2017,30,county,5,3185,f,"Green County, WI",,Wisconsin,WI,Condo/Co-op,3,176200,0.191345504,,180000,,,101.0882811,-0.111462032,,93.76961443,,,2,1,,5,4,,4,,,1,-0.666666667,,0.5,-2.5,,283,279,,0.971907984,-0.028092016,,0,0,,,,,0.6,-0.4,,"Madison, WI",31540,3/19/2023
12/1/2017,12/31/2017,30,county,5,2495,f,"Davison County, SD",,South Dakota,SD,Single Family Residential,6,194000,0.175757576,0.281373844,113000,-0.099601594,0.571517975,122.952863,-0.081951956,0.041405026,99.32478632,-0.048237324,2.852539171,2,-0.333333333,-0.5,,,,4,0,3,12,0.2,0.333333333,6,2.7,3.7,163,85,102,0.955927052,0.035035288,-0.014895631,0,0,-0.25,,,,,,,"Mitchell, SD",33580,3/19/2023
