PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
-0.872761945,1.135166693,-0.458776168,0.342044117,-0.336509171,0.322589609,0.188403487,-0.107067932,-0.194206057,-0.048879962
-0.749537132,-0.189631466,0.004783692,-0.471012833,0.496653129,-0.58817251,-0.627336767,0.300426184,-0.767577528,-0.653432974
-0.984739394,0.112636271,-0.931387241,0.111730077,0.572808621,-0.849817319,-0.566151786,0.110450395,0.196702774,0.691888666
-1.049648367,0.450406887,-1.533758099,-2.110464633,0.757468572,-0.293865117,-0.295536855,1.304737974,-0.787359683,-0.292000427
-0.938931728,-0.649081646,1.878205078,0.364879073,-0.402731098,0.305950655,0.869522414,0.93559953,0.353634779,0.401487324
-0.468595833,-0.262574863,-1.001830677,0.423024749,-0.305222359,0.238293389,0.154583901,0.305623383,-0.257636179,-0.310316931
-2.167873916,2.092251233,-0.370064479,0.855662437,-0.737488036,1.054149028,0.819583455,-0.599749258,0.423653387,-0.564996992
-0.350822872,-0.557391357,-1.498991069,-1.903794877,0.243196209,-0.101351215,0.280587758,1.00466086,0.168918018,0.707187567
-0.54720498,-1.059792885,0.997538427,-0.156939447,0.528117973,-0.779550775,-0.323150097,0.024329629,0.045286236,0.41235789
11.10735888,-1.309134986,-2.20956996,2.976392937,3.000898152,-2.345390709,1.392487205,0.265987324,-0.771434959,-0.681611004
-0.58060514,0.297133949,0.577143407,1.13067394,0.021280808,0.032682541,-0.247093618,-0.21442073,-0.161779307,-0.262167447
24.4457521,2.430858276,-2.022376516,-0.572424822,-0.203870176,0.691108291,-4.810892408,1.437847743,6.742343255,-1.810725383
-0.094838732,-0.668352982,0.656326884,0.399346394,-0.002201126,0.277856721,-0.027118688,0.278032729,-0.4048381,-0.538883191
-0.843637997,0.046878896,0.229936859,2.577749472,-0.421186643,-0.219163559,-0.057151316,0.221401459,0.434575495,0.710799048
9.110693283,-4.583808701,-3.739570041,0.312914899,0.092977604,1.332345297,-1.100860314,-0.199808441,1.427456239,0.257536831
0.393471343,-2.770246653,1.675457145,-0.798440083,0.061832853,-0.976884132,-0.097745995,0.652836712,-0.364765871,0.159187082
0.264846279,1.587426837,-0.647938749,0.69590422,-0.620668042,1.007670662,0.558327231,-0.236150856,-0.749603852,0.161139964
8.677798705,-0.800755057,-0.57010199,1.72633287,0.535351291,-0.481852569,-0.757546021,0.860069963,0.604787099,-0.538215954
-0.903188576,-0.057693333,0.006041648,-0.309437989,0.462376513,-0.775353061,-0.591801397,0.195791471,-0.462801513,-0.237830909
-1.430713091,0.357025621,0.508884063,-1.258437579,0.642015225,-0.602899431,-0.384225183,-0.570445446,-0.124444221,-0.506343056
-1.871679912,1.294198355,-0.212096089,-1.421595619,0.269553458,-0.529027458,0.203361868,1.565123269,0.051145128,0.736441648
-1.456958828,0.473603824,0.525976715,-0.556597073,0.185033598,-0.028972557,0.132311664,-0.395220858,0.178327446,-0.220212223
-0.786376805,-0.09284642,0.796035315,0.312877527,-0.158644558,0.193210667,0.236806719,0.133906149,0.125335132,-0.09432791
-1.422062117,1.291639352,0.181663828,3.267304861,-0.600355809,0.411979058,-0.129673005,0.390268008,-0.407945231,-0.729924012
2.964202078,-1.813007218,0.709986006,0.549961811,-0.238991412,0.351754557,-0.542005745,0.178636936,-0.390251519,-0.671481859
-2.166300389,1.937737934,-0.545761441,-0.078565455,-0.138899404,-0.063545569,0.288793766,0.847992669,0.310521005,0.467674475
