PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
-0.09831389,-0.130562425,0.104034526,0.049915072,-0.004788286,0.059262307,0.001521279,-0.011227302,0.035930681,-0.003660259
-0.2281808,-0.064963651,0.093286613,0.053378715,0.003715159,-0.135147481,0.042995208,0.03809372,0.007068066,0.000746222
-0.119121115,-0.061301861,0.02328744,0.015556346,-0.031411395,0.024932676,-0.025599076,-0.017698537,-0.012573856,0.005035509
-0.038097266,-0.036860846,-0.068625602,0.001312296,-0.020345348,-0.007145059,-0.005985066,-0.011241744,-0.025436418,0.00234013
-0.171498977,0.142729106,-0.255084369,-0.047541861,0.044347642,0.036390745,0.069094682,-0.022118154,0.050537795,-0.005521758
0.341811935,-0.020838131,-0.074321398,0.014642666,-0.010987902,0.038365654,0.051022746,-0.025941363,-0.011085852,-0.018411246
-0.295488614,0.054673347,0.00713274,-0.001405057,-0.003130538,-0.098992363,-0.015524077,-0.054813478,-0.043039992,0.010979997
0.428315873,0.210152956,0.007979796,0.331981009,-0.041852588,0.049611513,0.044256772,0.017338631,-0.022348008,0.055374554
-0.230225093,0.15583875,-0.11837004,-0.075285821,-0.105970995,-0.069852574,-0.007296747,-0.01341344,-0.005990981,0.004861239
0.220955956,0.055577774,0.017890882,-0.057831608,-0.088592468,0.044849525,0.015188493,0.012626503,-0.036444669,0.014467947
0.365616185,-0.08814983,-0.076609579,-0.047820663,-0.066028674,0.002461013,0.014099834,-0.009143015,-0.01402391,0.003783592
0.367959454,0.39386515,0.083568428,0.270123048,-0.098687661,0.051175117,0.039907205,0.029516602,-0.043175594,-0.001144116
-0.013015691,-0.02448069,-0.023495295,0.008535437,0.023004608,0.005493337,-0.000329258,0.002924041,-0.019789082,-0.002346283
-0.258513891,-0.009849441,0.015460866,0.033328654,0.060661907,0.069944992,-0.043259461,-0.022933239,-0.006353222,-0.006552564
0.239108886,0.103281308,-0.10471439,-0.064021975,0.083431623,0.058568469,0.050206665,-0.098743837,0.044732959,0.005440979
0.15272132,-0.035780973,-0.034545066,-0.000706264,-0.034353999,-0.005665803,0.005889794,0.012559725,0.013070399,-0.016760171
