PC1,PC2,PC3
5.971963253,-1.163008483,0.673636143
-2.319965068,2.206207658,-0.153445883
-1.09137259,0.576857085,-1.750255663
-1.668449412,1.245716567,-0.074368741
4.135483932,1.786447546,0.045710411
-2.458923888,2.457108579,0.102970227
-1.364577002,0.563031473,-1.691884286
3.256319799,-5.223335619,0.742087901
-0.627371152,-1.004177003,2.207227708
12.21879059,1.967088816,2.186798227
1.459635948,-1.375283656,-0.335004178
0.528103876,0.996810711,0.05109629
-0.866804487,-0.154847235,0.086106327
0.165868681,-0.283282379,-0.434671878
0.31229776,-1.827710513,0.288602421
-1.554515377,0.884638886,-0.082894055
0.539820305,-1.938132947,0.54650763
-1.241912744,0.087993936,1.20250892
0.003118862,-1.621213398,0.111305755
-0.976906782,-0.502800232,1.479613894
0.825632421,-1.522062288,-2.799701328
-1.481969977,0.612900921,0.061677635
-1.096857946,1.575778666,-0.29359536
-1.364402559,1.118290385,-0.657958467
0.676461452,-1.658604834,-0.644093521
-2.013122329,1.519126791,0.212625544
0.63756557,0.320659739,0.053471896
-0.642910974,1.022752963,-1.058116385
7.258646852,-3.834890271,0.276722405
2.217570396,-3.710564538,-1.444388085
-1.081115323,0.529348771,-0.789626644
0.617893745,-0.381328388,0.674972277
-0.946584453,-0.698664003,1.817860049
-1.67993928,1.218026205,-1.139203968
-0.417696733,-1.430440507,0.856425214
-1.389067221,0.396190795,0.584133853
1.214482671,-1.022618793,0.186790505
0.796895707,1.063577171,-0.063823052
-1.307688915,0.15384239,-0.45471473
0.899067888,-2.059434872,0.591401824
-2.384190869,2.049860106,0.248980771
1.701079323,-3.705355219,-0.883166946
-0.794568932,-0.225972887,-1.08814993
1.193126952,-1.0995596,-0.430621912
4.205548021,-6.470126477,0.073862387
-0.771458436,0.38733039,-3.605408018
-0.929112253,-0.840071686,2.144443588
2.311220783,-4.190461115,0.730840738
-1.775447204,1.208496642,-0.460607469
-1.663393785,1.581150252,-1.021836893
-1.757004997,1.904239169,-0.04015469
-1.236080714,0.525230955,-0.327832445
6.964972391,-7.846366051,0.112799797
-1.909833373,1.514922546,1.411970811
-1.164399528,1.378989698,-1.550045882
-0.572848712,-0.472101071,0.534264256
4.262924002,-2.068318064,-0.284802227
-0.443250905,-0.19916508,-0.995247718
-2.211235904,2.466821784,-0.65011509
-1.495488932,1.454704509,-0.92716473
-0.040749226,-0.612192044,-1.872722131
-1.759257459,1.357966959,-0.392784313
4.733403447,3.144861219,-0.705567382
0.2428395,-1.229913646,0.819353925
3.174911046,-5.792883784,-2.872495081
0.99703686,-2.119566861,-0.853370948
-1.349561688,0.42527205,-2.104670953
-1.03503751,-0.333464701,0.158183662
-2.391189618,2.971748012,-1.721568446
-0.768094084,0.338027756,-0.868075005
0.341282346,1.379370663,-3.355876499
0.006449056,-0.617790024,-0.253194698
0.145235192,-1.304552528,0.743189975
-0.209117045,-0.062448295,0.310851536
0.096120304,-1.77236264,0.374140102
7.637171991,1.500802908,0.559202615
-1.492499706,1.266957361,-0.375229294
0.720783183,-0.750680952,0.142284035
-1.259833765,0.70437985,-0.09637034
1.068488843,-1.631436451,0.062450499
-0.659376791,-0.210358753,0.262999915
4.534913358,0.155826567,0.535190308
-1.239078089,1.279697066,-0.54155932
-0.717205998,-0.07158727,-0.297650485
-1.922150682,1.580792891,-0.018841509
-0.622518461,1.13816447,0.310864046
-1.427217427,1.452886394,-0.739498762
-0.332932383,-0.483251011,0.406200751
-1.502477045,0.571763234,-0.099460896
-1.346966542,0.709854283,-0.970740374
0.11314446,-1.240009532,-0.228011386
-2.342815602,2.79430061,-1.55856797
-0.993633298,-0.729465892,0.699362494
1.340324549,-1.258914078,-0.219912233
-0.816344024,-0.342244466,0.655741394
-1.580656874,1.62338693,-1.246670615
-2.336455306,2.575030577,-1.627837343
-1.692869195,0.180553005,3.330301751
-0.627637714,0.261783597,0.462558437
1.712909464,-2.296140477,-1.271676729
-1.948209508,1.519555391,-0.661983385
-1.556772182,0.503943049,0.743212996
-1.26846726,0.370027511,-0.232905095
-1.669809511,1.706749009,-0.181250944
-0.990410156,-0.242769812,0.515707369
2.492277211,0.464170685,-0.457249892
-1.358249383,0.022734149,1.244629509
-2.005944216,1.531943947,-0.776759931
-0.926515707,-0.094382431,0.45910074
-0.125552676,-0.511154145,0.374262398
-0.187157836,0.222502817,-0.050786386
-1.082816289,0.18621068,-0.777390657
-1.950566753,1.830660829,-0.932683733
-0.867136193,-0.31117349,-0.61470681
-1.160916308,0.778323764,-1.595512364
-0.493700663,0.550045041,-1.072148307
-0.505969696,-0.801695558,-0.124819523
-1.115147189,-0.180354764,0.941095462
-0.15102698,0.305086143,-0.422095352
-1.512491869,0.195182463,0.173570643
-1.141209231,0.573814236,-1.090338726
-0.490934068,-0.815130468,-0.64811153
-0.268198509,-0.610472257,-0.823586542
3.754993039,-3.805551578,1.018819081
1.547831772,-1.057117653,-2.26539921
-0.681008044,-1.194135871,0.955254635
-1.772441133,1.253141722,-0.302269159
1.103835048,-2.944622358,0.089418961
-1.860194075,1.982637761,-1.861283001
2.761011694,0.463898482,0.67661659
2.46887567,-4.403242514,-2.899192914
-1.646294209,1.391591713,-0.264349992
0.191607855,-1.168234413,-0.857174879
