,GEOID,mean_household_size_owner,transportation_drive_alone,transportation_public,one_person_household,more_than_200k,mhhi,mhhi_family,mhhi_nonfamily,vacant_units,renter_occuppied,black_homeowners,owners_25_34,mean_household_size_renter,median_number_rooms,median_gross_rent,median_year_built,plumbing_complete,kitchen_complete,median_gross_rent_frac_income,lower_quartile_home_value,median_home_value,upper_quartile_home_value,electricity_cost
1150,27165,2.68,4012,84,1293,166,59494.0,76883.0,28147.0,630,919,0,317,2.3,6.2,650.0,1959,4268,4249,24.5,57500.0,106200.0,188700.0,365
1151,22065,2.6,2608,0,990,72,36875.0,42076.0,22308.0,1331,1251,754,100,2.99,5.6,654.0,1976,2996,2987,28.5,44200.0,82100.0,162300.0,104
1152,39117,2.68,13323,56,2720,357,63411.0,71967.0,42268.0,1372,2535,0,990,2.55,6.3,851.0,1979,12796,12737,24.2,109000.0,163300.0,243400.0,336
1153,36111,2.51,62499,2105,23123,6585,71040.0,94412.0,40443.0,14445,21715,1097,2981,2.12,5.7,1175.0,1967,71003,70724,33.3,172900.0,252300.0,364100.0,3181
1154,6085,3.04,653861,33409,133375,219040,140258.0,159872.0,88090.0,36663,283743,4806,25445,2.79,5.0,2530.0,1974,644862,641111,27.7,808000.0,1134400.0,1708800.0,94663
1155,4009,3.07,10677,32,2707,262,57105.0,62622.0,35495.0,2045,3321,53,1126,2.86,5.6,788.0,1987,11432,11405,23.3,86200.0,150400.0,220200.0,731
1156,29063,2.54,3170,4,1187,92,59462.0,78004.0,33299.0,488,1080,2,262,1.79,5.7,724.0,1981,3765,3767,23.3,77400.0,138100.0,197700.0,287
1157,32003,2.79,772693,27235,228953,54633,64210.0,75399.0,41843.0,94371,363672,31051,46753,2.61,5.2,1257.0,1996,812537,809849,31.8,224800.0,308800.0,416200.0,70725
1158,12121,2.82,13491,4,3790,430,47218.0,56412.0,25236.0,3793,3990,717,760,2.7,5.3,756.0,1991,15045,14928,22.8,60000.0,118100.0,198300.0,172
1159,37091,2.35,6570,42,2972,153,43523.0,52938.0,27917.0,1655,2691,3094,420,2.5,5.5,810.0,1978,8206,8220,33.0,58100.0,89400.0,146100.0,224
1160,48343,2.39,4209,0,1398,58,46468.0,59303.0,25322.0,1038,1265,780,213,2.73,5.5,728.0,1973,4717,4702,27.4,53800.0,97700.0,157400.0,108
1161,47107,2.49,19102,0,5828,620,51253.0,62136.0,28929.0,2707,5477,426,1483,2.34,5.8,730.0,1984,21099,21027,24.5,86700.0,148700.0,228000.0,272
1162,13079,2.77,4018,64,970,146,53132.0,64639.0,33107.0,895,961,595,196,2.92,5.7,666.0,1992,4283,4281,22.0,70800.0,146100.0,230900.0,69
1163,48371,2.76,5259,12,1544,316,55652.0,61592.0,33838.0,789,1495,0,336,2.17,6.0,782.0,1977,4979,4967,26.7,46000.0,113100.0,169500.0,70
1164,46073,2.22,612,3,318,54,58375.0,81989.0,32222.0,165,149,0,82,1.5,5.9,520.0,1957,847,847,18.8,49600.0,104500.0,204200.0,41
1165,12065,2.36,4691,0,1502,206,53080.0,66498.0,28125.0,1291,1273,1062,215,2.47,5.6,679.0,1989,5394,5392,25.2,70500.0,153400.0,264600.0,120
1166,47165,2.7,76385,152,16931,5250,73517.0,87332.0,43254.0,4769,19358,2697,5492,2.47,6.2,1142.0,1992,72451,72196,28.6,189000.0,276600.0,385500.0,1406
